Driver,mean_lap_time,std_lap_time,lap_count,consistency_score,pace_rank,consistency_rank,performance_score
ALB,80.98406578947368,7.327853221484043,76,0.09048512383329263,9.0,14.0,23.0
ALO,81.14965333333333,5.374727182248756,75,0.06623228764972447,12.0,10.0,22.0
BOT,81.04392,5.013631253379606,75,0.061863138572018805,11.0,9.0,20.0
GAS,81.02763157894738,7.033413069706825,76,0.08680264907970293,10.0,13.0,23.0
HAM,78.60323684210528,3.1584861431532594,76,0.04018264730621574,7.0,7.0,14.0
LEC,78.43903947368422,1.6985235740944054,76,0.02165405881422412,1.0,3.0,4.0
NOR,78.53284210526316,1.6915917793812252,76,0.02153992818843694,4.0,2.0,6.0
PIA,78.5241447368421,1.5892239926366358,76,0.02023866669242436,3.0,1.0,4.0
RIC,81.22948000000001,6.0160629317618435,75,0.07406255625127531,14.0,12.0,26.0
RUS,78.5896447368421,2.107820072675077,76,0.026820582784578363,5.0,5.0,10.0
SAI,78.52307894736842,1.759429860404838,76,0.022406531735518535,2.0,4.0,6.0
SAR,81.16962666666666,5.650440680669595,75,0.06961274694380257,13.0,11.0,24.0
STR,81.31830666666666,7.6131948970074195,75,0.09362215236742207,15.0,15.0,30.0
TSU,80.87410526315789,8.104661568223468,76,0.1002133073602675,8.0,16.0,24.0
VER,78.59236842105264,2.9468334319722826,76,0.037495160041301295,6.0,6.0,12.0
ZHO,81.66081333333332,4.706270586095703,75,0.057631933775690654,16.0,8.0,24.0
