Driver,LapNumber,LapTimeSeconds,Stint,Compound
LEC,3.0,84.624,2.0,HARD
LEC,4.0,82.625,2.0,HARD
LEC,5.0,81.795,2.0,HARD
LEC,6.0,81.145,2.0,HARD
LEC,7.0,80.98,2.0,HARD
LEC,8.0,81.03,2.0,HARD
LEC,9.0,80.114,2.0,HARD
LEC,10.0,80.775,2.0,HARD
LEC,11.0,81.046,2.0,HARD
LEC,12.0,80.252,2.0,HARD
LEC,13.0,79.017,2.0,HARD
LEC,14.0,79.913,2.0,HARD
LEC,15.0,79.838,2.0,HARD
LEC,16.0,80.156,2.0,HARD
LEC,17.0,80.279,2.0,HARD
LEC,18.0,79.58,2.0,HARD
LEC,19.0,78.842,2.0,HARD
LEC,20.0,78.724,2.0,HARD
LEC,21.0,78.472,2.0,HARD
LEC,22.0,78.62,2.0,HARD
LEC,23.0,78.458,2.0,HARD
LEC,24.0,78.725,2.0,HARD
LEC,25.0,78.973,2.0,HARD
LEC,26.0,78.445,2.0,HARD
LEC,27.0,78.351,2.0,HARD
LEC,28.0,78.71,2.0,HARD
LEC,29.0,79.053,2.0,HARD
LEC,30.0,79.935,2.0,HARD
LEC,31.0,78.393,2.0,HARD
LEC,32.0,79.125,2.0,HARD
LEC,33.0,78.494,2.0,HARD
LEC,34.0,79.319,2.0,HARD
LEC,35.0,78.53,2.0,HARD
LEC,36.0,78.689,2.0,HARD
LEC,37.0,78.925,2.0,HARD
LEC,38.0,78.528,2.0,HARD
LEC,39.0,78.181,2.0,HARD
LEC,40.0,78.733,2.0,HARD
LEC,41.0,78.694,2.0,HARD
LEC,42.0,79.277,2.0,HARD
LEC,43.0,77.865,2.0,HARD
LEC,44.0,78.276,2.0,HARD
LEC,45.0,78.541,2.0,HARD
LEC,46.0,78.567,2.0,HARD
LEC,47.0,79.185,2.0,HARD
LEC,48.0,77.941,2.0,HARD
LEC,49.0,78.506,2.0,HARD
LEC,50.0,78.185,2.0,HARD
LEC,51.0,77.79,2.0,HARD
LEC,52.0,78.311,2.0,HARD
LEC,53.0,77.748,2.0,HARD
LEC,54.0,77.357,2.0,HARD
LEC,55.0,77.444,2.0,HARD
LEC,56.0,77.266,2.0,HARD
LEC,57.0,77.64,2.0,HARD
LEC,58.0,77.028,2.0,HARD
LEC,59.0,77.034,2.0,HARD
LEC,60.0,76.414,2.0,HARD
LEC,61.0,76.863,2.0,HARD
LEC,62.0,77.454,2.0,HARD
LEC,63.0,76.971,2.0,HARD
LEC,64.0,76.56,2.0,HARD
LEC,65.0,76.607,2.0,HARD
LEC,66.0,76.489,2.0,HARD
LEC,67.0,75.941,2.0,HARD
LEC,68.0,76.082,2.0,HARD
LEC,69.0,76.373,2.0,HARD
LEC,70.0,75.767,2.0,HARD
LEC,71.0,75.162,2.0,HARD
LEC,72.0,75.547,2.0,HARD
LEC,73.0,76.219,2.0,HARD
LEC,74.0,76.105,2.0,HARD
LEC,75.0,76.387,2.0,HARD
LEC,76.0,76.808,2.0,HARD
LEC,77.0,76.933,2.0,HARD
LEC,78.0,78.636,2.0,HARD
PIA,3.0,84.953,2.0,HARD
PIA,4.0,82.314,2.0,HARD
PIA,5.0,82.019,2.0,HARD
PIA,6.0,81.354,2.0,HARD
PIA,7.0,80.808,2.0,HARD
PIA,8.0,81.058,2.0,HARD
PIA,9.0,79.906,2.0,HARD
PIA,10.0,80.89,2.0,HARD
PIA,11.0,80.898,2.0,HARD
PIA,12.0,80.135,2.0,HARD
PIA,13.0,78.745,2.0,HARD
PIA,14.0,80.014,2.0,HARD
PIA,15.0,80.264,2.0,HARD
PIA,16.0,79.829,2.0,HARD
PIA,17.0,80.028,2.0,HARD
PIA,18.0,79.832,2.0,HARD
PIA,19.0,79.179,2.0,HARD
PIA,20.0,79.055,2.0,HARD
PIA,21.0,78.601,2.0,HARD
PIA,22.0,78.585,2.0,HARD
PIA,23.0,78.658,2.0,HARD
PIA,24.0,78.636,2.0,HARD
PIA,25.0,78.784,2.0,HARD
PIA,26.0,78.44,2.0,HARD
PIA,27.0,78.523,2.0,HARD
PIA,28.0,78.791,2.0,HARD
PIA,29.0,79.01,2.0,HARD
PIA,30.0,79.396,2.0,HARD
PIA,31.0,78.449,2.0,HARD
PIA,32.0,78.969,2.0,HARD
PIA,33.0,79.06,2.0,HARD
PIA,34.0,78.978,2.0,HARD
PIA,35.0,78.605,2.0,HARD
PIA,36.0,78.882,2.0,HARD
PIA,37.0,78.612,2.0,HARD
PIA,38.0,78.731,2.0,HARD
PIA,39.0,78.362,2.0,HARD
PIA,40.0,78.951,2.0,HARD
PIA,41.0,78.846,2.0,HARD
PIA,42.0,79.795,2.0,HARD
PIA,43.0,78.198,2.0,HARD
PIA,44.0,78.277,2.0,HARD
PIA,45.0,78.082,2.0,HARD
PIA,46.0,78.623,2.0,HARD
